gia,dientich,rong,dai,kieunha,phuong, quan,bedroom,bathroom,phaply,ngaydang,masobds,linkweb
16000,72,18,4,"mặt tiền, phố", Phường 9, Quận Phú Nhuận,6,5,Giấy tờ hợp lệ,21/01/2024,22421232,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-mat-tien-pho-quang-p9-q-pn-4x18-3l-gia-16-ty-tl-id22421232
16500,100,20,5,"hẻm, ngõ", Phường 3, Quận 5,6,6,Sổ hồng,21/01/2024,21867176,https://mogi.vn/quan-5/mua-nha-hem-ngo/can-ban-nha-hem-nguyen-trai-q-5-giap-q-1-5mx20m-5-tang-6pn-id21867176
16500,100,20,5,"mặt tiền, phố", Phường 14, Quận Tân Bình,6,5,Giấy tờ hợp lệ,21/01/2024,22420753,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-mt-dong-den-p14-quan-tan-binh-5x20-4l-gia-16-5-ty-tl-id22420753
16500,80,19,4,"mặt tiền, phố", Phường 4, Quận Tân Bình,4,4,Sổ hồng,21/01/2024,22159698,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/gia-re-16-5-ty-ba-n-mt-sieu-vi-tri-hoa-ng-vanthu-q-tb-4x19m-3lau-id22159698
16500,94,21,4.5,"hẻm, ngõ", Phường 4, Quận Tân Bình,8,9,Sổ hồng,21/01/2024,21542088,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/hem-oto-8m-nguyen-dinh-khoi-q-tan-binh-91-94m2-4-4x21-4tang-8pn-id21542088
16500,96,15,7.5,"Biệt thự, liền kề", Phường 7, Quận Tân Bình,6,5,Giấy tờ hợp lệ,21/01/2024,22427561,https://mogi.vn/quan-tan-binh/mua-nha-biet-thu-lien-ke/ban-nha-biet-thu-de-dinh-cu-nuoc-ngoai-cach-mang-thang-8-p7-q-tb-id22427561
16700,89,23,3.8,"hẻm, ngõ", Phường 15, Quận 10,7,8,Sổ hồng,21/01/2024,22310687,https://mogi.vn/quan-10/mua-nha-hem-ngo/oto-do-trong-nha-to-hien-thanh-q-10-89m2-5tang-ngay-cho-thuoc-tay-id22310687
16800,75,15,5,"mặt tiền, phố", Phường 14, Quận Tân Bình,5,4,Giấy tờ hợp lệ,21/01/2024,22420730,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-mt-nguyen-hong-dao-p14-quan-tb-5x15-3l-gia-16-8-ty-id22420730
16999,68,16,4.2,"mặt tiền, phố", Phường 12, Quận Tân Bình,5,4,Giấy tờ hợp lệ,21/01/2024,22430374,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-mt-nguyen-thai-binh-p12-q-tb-4-2x16-3l-gia-17-ty-tl-id22430374
17000,110,22,5,"hẻm, ngõ", Phường 15, Quận 10,6,7,Sổ hồng,21/01/2024,22461756,https://mogi.vn/quan-10/mua-nha-hem-ngo/hxh-to-hien-thanh-p15-quan-10-dt-5-x-22-gia-16-999-ty-2-mat-hem-id22461756
17000,141,26,5.6,"Biệt thự, liền kề", Phường Tân Quý, Quận Tân Phú,9,10,Sổ hồng,21/01/2024,22412732,https://mogi.vn/quan-tan-phu/mua-nha-biet-thu-lien-ke/biet-thu-mtnb-duong-14m-nguyen-suy-141m2-5-6x26-6tang-co-thang-may-id22412732
17000,400,40,10,"mặt tiền, phố", Xã Xuân Thới Thượng, Huyện Hóc Môn,1,1,Sổ hồng,21/01/2024,21457966,https://mogi.vn/huyen-hoc-mon/mua-nha-mat-tien-pho/xuong-10-x-40m-mat-tien-xuan-thoi-thuong-6-gan-thpt-pham-van-sang-hm-id21457966
17000,80,20,4,"mặt tiền, phố", Phường Tân Quý, Quận Tân Phú,4,5,Sổ hồng,21/01/2024,22388931,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/mat-tien-kinh-doanh-go-da-u-80m2-4x20-3lau-via-he-5m-hdt-28tr-th-id22388931
17000,82,18,4.5,"hẻm, ngõ", Phường 15, Quận 10,17,17,Sổ hồng,21/01/2024,22466907,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-chdv-ngay-to-hien-thanh-quan-10-82m2-6-tang-thang-may-17p-chdv-id22466907
17000,83,19.5,4.3,"hẻm, ngõ", Phường 11, Quận 3,3,3,Sổ hồng,21/01/2024,21742211,https://mogi.vn/quan-3/mua-nha-hem-ngo/hem-xe-tai-quay-dau-oto-do-trong-nha-cmt8-q-3-84m2-4-4x19-2tang-id21742211
17000,90,20,5.5,"mặt tiền, phố", Phường 12, Quận Tân Bình,20,20,Sổ hồng,21/01/2024,22410522,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-duong-nguyen-thai-binh-phuong-12-tan-binh-5-5x20m-5-tang-id22410522
17300,165,20.5,8,"hẻm, ngõ", Phường 12, Quận 6,4,4,Sổ hồng,21/01/2024,22394469,https://mogi.vn/quan-6/mua-nha-hem-ngo/hem-8m-thong-kinh-duong-vuong-q6-165m2-8x20-5-no-hau-shr-17-3-ty-tl-id22394469
17400,84,22,4,"mặt tiền, phố", Phường 11, Quận Gò Vấp,7,5,Sổ hồng,21/01/2024,22097628,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/chinh-chu-ban-mat-tien-thong-nhat-go-vap-5t-84m2-7pn-nhinh-200-tr-m2-id22097628
17500,100,20,5,"hẻm, ngõ", Phường 14, Quận Tân Bình,5,6,Sổ hồng,21/01/2024,22369706,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/biet-thu-truong-chinh-khu-vip-bau-cat-oto-vao-nha-100m2-co-thang-may-id22369706
17500,108,14,8,"hẻm, ngõ", Phường 9, Quận Tân Bình,6,5,Sổ hồng,21/01/2024,22462222,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/goc-2mt-ly-thuong-kiet-p9-tan-binh-ngang-8m-5-tang-nhinh-17-ty-id22462222
17500,111,20,6,"mặt tiền, phố", Phường Tân Quý, Quận Tân Phú,7,3,Sổ hồng,21/01/2024,22393848,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/giam-3-ty-ban-gap-mat-tien-kinh-doanh-go-dau-111m2-6x20-tn-50-tr-th-id22393848
17500,68,17,4,"hẻm, ngõ", Phường 14, Quận 10,10,9,Sổ hồng,21/01/2024,22466081,https://mogi.vn/quan-10/mua-nha-hem-ngo/nha-hem-nhua-6m-duong-3-thang-2-6-tang-4x17m-nhinh-17-ty-id22466081
17500,90,18,5,"mặt tiền, phố", Phường Phú Mỹ, Quận 7,4,5,Sổ hồng,21/01/2024,22336236,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/nha-pho-tan-co-dien-kdc-lacasa-duong-hoang-quoc-viet-5x18m-id22336236
17500,94,23,4.1,"mặt tiền, phố", Phường 11, Quận Bình Thạnh,7,6,Sổ hồng,21/01/2024,21971956,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/mat-tien-kinh-doanh-nguyen-van-dau-4-1mx23m-4-tang-no-hau-tai-loc-id21971956
17999,70,17,4,"mặt tiền, phố", Phường 11, Quận Bình Thạnh,11,13,Sổ hồng,21/01/2024,22337866,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/mat-tien-kinh-doanh-vip-ngay-trung-tam-phuong-11-70m2-7-tang-btct-id22337866
18000,106,26,4,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),4,4,Sổ hồng,21/01/2024,21384908,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/mat-tien-kinh-doanh-duong-xuan-thuy-nguyen-cu-106m2-chi-18-ty-id21384908
18000,62,5.1,12,"mặt tiền, phố", Phường Đa Kao, Quận 1,7,7,Sổ hồng,21/01/2024,22191640,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/xuo-ng-2ty-co-n-18ty-ba-n-nha-4mt-p-dakao-q1-ngang-lo-n-12m-7chdv-id22191640
18000,73,11,7,"mặt tiền, phố", Phường Đa Kao, Quận 1,4,3,Sổ hồng,21/01/2024,22171742,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/sieu-pham-hem-xe-hoi-18-nguyen-thi-minh-khai-da-kao-quan-1-dt-7x11-id22171742
18000,75,15,5,"mặt tiền, phố", Phường 4, Quận 3,3,4,Sổ hồng,21/01/2024,22466209,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/so-c-18-ty-ba-n-go-c-3-mt-d-nguyen-hien-q3-ngang-lo-n-5m-4-ta-n-id22466209
18000,84,14,6,"mặt tiền, phố", Phường 4, Quận 3,1,1,Sổ hồng,21/01/2024,22466200,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-mt-cu-xa-do-thanh-q3-ngang-lon-6m-ma-chi-18-ty-id22466200
18450,127,16.5,9.3,"mặt tiền, phố", Phường 8, Quận Phú Nhuận,17,17,Sổ hồng,21/01/2024,22435627,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/pn-chdv-16p-1mb-k-doanh-dg-hoang-van-thu-tn-87-trieu-th-6t-co-tm-id22435627
18480,90,14,6,"hẻm, ngõ", Phường 5, Quận 3,5,3,Sổ hồng,21/01/2024,21991523,https://mogi.vn/quan-3/mua-nha-hem-ngo/vip-quan-3-hem-xe-hoi-6m-nguyen-thi-minh-khai-90m2-chi-18-48ty-id21991523
18500,56,8,7,"mặt tiền, phố", Phường 14, Quận 3,6,7,Sổ hồng,21/01/2024,22053948,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/gia-to-t-18-5-ty-ba-n-ga-p-mt-d-truo-ng-sa-q3-ngang-lo-n-7m-4-tang-id22053948
18500,72,18,4,"mặt tiền, phố", Phường 7, Quận Phú Nhuận,6,5,Giấy tờ hợp lệ,21/01/2024,22428817,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-mt-hoa-cuc-p2-phu-nhuan-4x18-4l-gia-18-5-ty-id22428817
18500,90,20,5,"mặt tiền, phố", Phường 2, Quận Tân Bình,6,7,Sổ hồng,21/01/2024,22466213,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ba-n-mt-d-nguyen-thanh-tuyen-p-02-q-tb-4-5-20m-6-ta-ng-st-id22466213
18990,72,18,4,"mặt tiền, phố", Phường 9, Quận Phú Nhuận,4,4,Sổ hồng,21/01/2024,21806075,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/hiem-mat-tien-pho-quang-phu-nhuan-canh-the-botanica-72m2-chi-18-99ty-id21806075
18999,99.6,24,4.15,"mặt tiền, phố", Phường 4, Quận 3,2,3,Sổ hồng,21/01/2024,22466255,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-mt-cu-xa-do-thanh-q3-4-2x24m-3-tang-ma-chi-19-ty-id22466255
19000,111,20,5.5,"hẻm, ngõ", Phường 7, Quận Tân Bình,9,6,Sổ hồng,21/01/2024,21459237,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/hem-oto-tranh-ly-thuong-kiet-q-tan-binh-111m2-5tang-co-thang-may-id21459237
19000,125,21.5,5.8,"hẻm, ngõ", Phường 14, Quận 10,10,10,Sổ hồng,21/01/2024,22469739,https://mogi.vn/quan-10/mua-nha-hem-ngo/hxh-3-thang-2-phuong-14-quan-10-5-8m-x-22m-5-tang-o-cho-thue-id22469739
19000,150,25,6,"mặt tiền, phố", Phường Bình Trị Đông B, Quận Bình Tân,5,4,Sổ hồng,21/01/2024,22153324,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/mt-khu-ten-lua-binh-tan-150m2-4-tang-tm-shr-hc-du-ngay-aeon-19-ty-tl-id22153324
19000,162,9.5,17,"hẻm, ngõ", Phường 14, Quận 10,3,1,Sổ hồng,21/01/2024,22176321,https://mogi.vn/quan-10/mua-nha-hem-ngo/ba-n-nha-go-c-2ma-t-he-m-tha-nh-tha-i-q-10-17-9-5m-hdt-60tr-chi-17ty-id22176321
19000,96,20,4.1,"hẻm, ngõ", Phường 12, Quận Tân Bình,22,22,Sổ hồng,21/01/2024,21983329,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ngop-bank-ban-khach-san-nguyen-thai-binh-gan-100m2-co-thang-may-id21983329
19500,133,23,5,"Biệt thự, liền kề", Phường 3, Quận Tân Bình,4,5,Sổ hồng,21/01/2024,21875495,https://mogi.vn/quan-tan-binh/mua-nha-biet-thu-lien-ke/ban-biet-thu-doi-dien-cho-pham-van-hai-q-tan-binh-133m2-ngang-5m-id21875495
19500,156,25,6.8,"hẻm, ngõ", Phường 3, Quận Phú Nhuận,8,8,Sổ hồng,21/01/2024,22416673,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/re-19-5-ty-ban-nha-he-m-8-5m-phan-dang-luu-q-pn-nh-6-8-25m-5-lau-id22416673
19990,213,19,11,"hẻm, ngõ", Phường 12, Quận Gò Vấp,29,29,Sổ hồng,21/01/2024,21966874,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/chdv-28p-dt-1-6-ty-nam-can-goc-mt-11m-213m2-4t-quang-trung-gv-id21966874
20000,126,32,4,"hẻm, ngõ", Phường 14, Quận 10,3,2,Sổ hồng,21/01/2024,21845390,https://mogi.vn/quan-10/mua-nha-hem-ngo/hem-8m-xe-tai-tranh-to-hien-thanh-q-10-126m2-4x-32-nha-cap-4-id21845390
20000,146,22,6,"mặt tiền, phố", Phường 11, Quận Gò Vấp,10,6,Sổ hồng,21/01/2024,22310894,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/ban-gap-nha-mat-tien-nguyen-van-khoi-id22310894
20000,78.2,12,6,"hẻm, ngõ", Phường 4, Quận 3,4,3,Sổ hồng,21/01/2024,22366958,https://mogi.vn/quan-3/mua-nha-hem-ngo/gia-giam-20-ty-ba-n-nha-hxh-ngang-6m-phuong-4-quan-3-3-ta-ng-id22366958
20000,81,16,5,"mặt tiền, phố", Phường 11, Quận 3,4,5,Sổ hồng,21/01/2024,22466262,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/re-20-ty-ban-mt-do-thi-loi-tran-van-dang-cu-q3-5-15-99m-5-lau-id22466262
20000,99,11,9,"mặt tiền, phố", Phường Tân Định, Quận 1,4,4,Sổ hồng,21/01/2024,22160360,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/chi-20-ty-so-huu-nha-2-mat-tien-ngay-tran-quang-khai-q1-ngang-9x11m-id22160360
20200,151,18,8.4,"mặt tiền, phố", Phường Hiệp Tân, Quận Tân Phú,5,4,Sổ hồng,21/01/2024,21623564,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/mtkd-y-lan-tan-phu-151m2-8-2x18-vuong-vuc-khu-dan-tri-gia-20-2-ty-tl-id21623564
20200,184,40,4.6,"mặt tiền, phố", Phường Bình Hưng Hòa A, Quận Bình Tân,5,3,Sổ hồng,21/01/2024,21615191,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/lo-goc-3-mtkd-binh-long-ngay-4-xa-184m2-3t-ngang-khung-chi-20-2-ty-tl-id21615191
20400,150,30,5,"mặt tiền, phố", Phường Phú Thọ Hòa, Quận Tân Phú,4,2,Sổ hồng,21/01/2024,22049697,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/mtkd-phu-tho-hoa-tan-phu-150m2-5x30-2-tang-khu-cho-vai-chi-20-4-ty-id22049697
20500,56,14,4,"Biệt thự, liền kề", Phường Tân Định, Quận 1,3,5,Sổ hồng,21/01/2024,22466252,https://mogi.vn/quan-1/mua-nha-biet-thu-lien-ke/giam-20-5-ty-ba-n-nha-d-ly-van-phuc-q1-cn-54-6m2-5-ta-ng-ln-id22466252
20550,2100,45,50,"mặt tiền, phố", Xã Phú Hòa Đông, Huyện Củ Chi,6,6,Sổ hồng,21/01/2024,22458314,https://mogi.vn/huyen-cu-chi/mua-nha-mat-tien-pho/hcc-10-trieu-m2-to-hop-kinh-doanh-2100m2-doanh-thu-200-trieu-thang-id22458314
20800,84,15.5,5.5,"mặt tiền, phố", Phường 1, Quận Tân Bình,4,5,Sổ hồng,21/01/2024,22446683,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-goc-2mt-ngay-le-van-sy-moi-xay-4-tang-cn-84m2-20-8-ty-id22446683
20990,229,22,11,"hẻm, ngõ", Phường 6, Quận Gò Vấp,35,35,Sổ hồng,21/01/2024,22045764,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/nha-tro-35p-thu-nhap-1-ty-nam-229m2-3t-cong-vien-van-hoa-go-vap-id22045764
20999,70,10,7,"mặt tiền, phố", Phường 4, Quận 3,4,5,Sổ hồng,21/01/2024,22456868,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/gia-giam-23-ty-ba-n-goc-2-mt-ngang-lo-n-10m-khu-cu-xa-do-thanh-qua-n3-id22456868
21000,100,20,5,"mặt tiền, phố", Phường 12, Quận Tân Bình,5,4,Giấy tờ hợp lệ,21/01/2024,22428869,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-mt-c18-nguyen-minh-hoang-p12-q-tb-5x20-3l-gia-21-ty-tl-id22428869
21000,106.5,25,4,"mặt tiền, phố", Phường Đa Kao, Quận 1,3,4,Sổ hồng,21/01/2024,22402557,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/re-21-ty-ba-n-nha-d-nguye-n-thi-minh-khai-q1-4-25m-cn-106-5m2-id22402557
21000,108,17,8.6,"hẻm, ngõ", Phường 12, Quận Tân Bình,6,5,Giấy tờ hợp lệ,21/01/2024,22430456,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-hem-8m-nguyen-thai-binh-p12-tan-binh-8-6x17-3l-gia-21-ty-tl-id22430456
21000,110,22,5,"mặt tiền, phố", Phường 5, Quận Bình Thạnh,7,8,Sổ hồng,21/01/2024,22461762,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/21-ty-co-toa-nha-ham-7-tang-mt-binh-thanh-dt-dat-5x22m-id22461762
21000,116,29,4,"mặt tiền, phố", Phường 13, Quận 6,10,6,Sổ hồng,21/01/2024,22067156,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/nha-2-mtkd-quan-6-dt-116m2-4x29-khu-sam-uat-co-45tr-th-shr-21-ty-tl-id22067156
21000,118,28,4.2,"mặt tiền, phố", Phường Hòa Thạnh, Quận Tân Phú,4,2,Sổ hồng,21/01/2024,22009564,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/mtkd-luy-ban-bich-tan-phu-118m2-4-2x28-shr-vuong-le-6m-gia-21-ty-tl-id22009564
21000,150,15,10,đường nội bộ, Phường An Phú, Quận 2 (TP. Thủ Đức),0,0,Sổ hồng,21/01/2024,21384772,https://mogi.vn/quan-2/mua-duong-noi-bo/ha-gia-ban-gap-khuon-dat-xay-villa-10mx15m-trong-khu-compound-cuc-dep-id21384772
21000,42,10,4,"mặt tiền, phố", Phường Cô Giang, Quận 1,5,6,Sổ hồng,21/01/2024,22007683,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/sieu-hot-21-ty-ba-n-ga-p-mt-d-ho-ha-o-ho-n-q1-248m2-sa-n-6-ta-ng-tm-id22007683
21000,65,17,3.8,"mặt tiền, phố", Phường 7, Quận Phú Nhuận,5,6,Sổ hồng,21/01/2024,22448978,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/mat-tien-hoa-sua-khu-phan-xich-long-65m2-3-8x17-4tang-co-thang-may-id22448978
21000,80,20,4,"hẻm, ngõ", Phường 13, Quận 3,4,5,Sổ hồng,21/01/2024,22466232,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-nha-d-le-van-sy-quan-3-4x20m-3-tang-st-re-duy-nhat-chi-21-ty-id22466232
21000,84,14,6,"mặt tiền, phố", Phường 10, Quận 10,2,3,Sổ hồng,21/01/2024,22415672,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/so-c-21-ty-ba-n-go-c-2-mt-d-3-tha-ng-2-le-ho-ng-phong-6-14m-id22415672
21000,90,16,5.6,"hẻm, ngõ", Phường 1, Quận Tân Bình,4,5,Sổ hồng,21/01/2024,22426252,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/re-21-ty-ban-nha-hxh-goc-2-mt-le-van-sy-q-tb-5-6-16m-ha-m-6-lau-id22426252
21500,44,11,4,"mặt tiền, phố", Phường 9, Quận 3,5,6,Sổ hồng,21/01/2024,22052209,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/gia-cu-c-to-t-21-5-ty-ban-nha-2-mt-hoang-sa-q-3-view-song-co-tm-id22052209
21890,392,38,11.9,"mặt tiền, phố", Phường Thạnh Xuân, Quận 12,6,4,Sổ hồng,21/01/2024,22144010,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/q12-ngop-gap-nha-mat-tien-kd-ngang-11-9m-392m2-gan-cho-minh-phat-id22144010
21900,80,20,4,"mặt tiền, phố", Phường An Phú, Quận 2 (TP. Thủ Đức),4,4,Sổ hồng,21/01/2024,21384914,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/mat-tien-kinh-doanh-tran-luu-an-phu-tret-3-lau-moi-chi-21-9-ty-id21384914
21990,144,24,6,"mặt tiền, phố", Phường Tân Quý, Quận Tân Phú,5,6,Sổ hồng,21/01/2024,22447784,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/biet-thu-mat-tien-vip-tan-phu-144m2-6-x-24-5-tang-ngop-bank-19-ty-id22447784
21990,160,25,6.5,"mặt tiền, phố", Phường 2, Quận Phú Nhuận,6,4,Sổ hồng,21/01/2024,22111882,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/qpn-nha-mat-tien-kinh-doanh-can-goc-3-mat-ngang-6-5m-160m2-3t-id22111882
22000,100,10,10,"mặt tiền, phố", Phường Đa Kao, Quận 1,1,2,Sổ hồng,21/01/2024,22402514,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/re-22-ty-ba-n-ga-p-mt-d-hoa-ng-sa-q1-ngang-lo-n-10m-tre-t-la-u-id22402514
22000,104,26,4,"mặt tiền, phố", Phường 24, Quận Bình Thạnh,4,5,Sổ hồng,21/01/2024,22472025,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/22-ty-ba-n-ga-p-mt-d-ba-ch-da-ng-q-bt-4-26m-5-ta-ng-id22472025
22000,105,26,4.1,"mặt tiền, phố", Phường Thảo Điền, Quận 2 (TP. Thủ Đức),5,5,Sổ hồng,21/01/2024,21499776,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-nguyen-cu-xuan-thuy-thao-dien-quan-2-dt-105m2-id21499776
22000,110,20,6,"Biệt thự, liền kề", Phường 10, Quận Phú Nhuận,6,5,Giấy tờ hợp lệ,21/01/2024,22428852,https://mogi.vn/quan-phu-nhuan/mua-nha-biet-thu-lien-ke/ban-biet-thu-dang-van-ngu-p10-q-pn-6x20-ham-3-lau-gia-22-ty-id22428852
22000,142,23,6.2,"mặt tiền, phố", Phường Bình Trị Đông B, Quận Bình Tân,25,25,Sổ hồng,21/01/2024,21767246,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-mtkd-duong-7a-ten-lua-142m2-6-2x23-7t-tm-co-250tr-th-gia-22-ty-tl-id21767246
22000,143,24,6,"mặt tiền, phố", Phường Bình Trị Đông B, Quận Bình Tân,25,26,Sổ hồng,21/01/2024,21536632,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ks-khu-ten-lua-binh-tan-143m2-6x24-7t-tm-thu-nhap-300tr-chi-22-ty-tl-id21536632
22000,145,14,6,"mặt tiền, phố", Phường 14, Quận Tân Bình,2,2,Sổ hồng,21/01/2024,22405605,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/hiem-ban-nha-goc-2mt-ngang-6m-ngay-duong-bau-cat-gia-chi-22-ty-tl-id22405605
22000,250,24,10,"Biệt thự, liền kề", Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức),4,4,Sổ hồng,21/01/2024,22256400,https://mogi.vn/quan-thu-duc/mua-nha-biet-thu-lien-ke/ban-biet-thu-song-lap-jamona-thu-duc-noi-that-cao-cap-nha-nhu-moi-id22256400
22000,303,38.5,6.2,"mặt tiền, phố", Phường 16, Quận 8,20,4,Sổ hồng,21/01/2024,22123881,https://mogi.vn/quan-8/mua-nha-mat-tien-pho/mat-tien-6-2m-ngay-cho-p16-q8-303m2-no-hau-co-20tr-th-gia-22-ty-tl-id22123881
22000,41,5.5,8,"mặt tiền, phố", Phường Đa Kao, Quận 1,4,5,Sổ hồng,21/01/2024,22095228,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/gia-sieu-ho-i-22-ty-ba-n-lo-6-ty-mt-ngang-lo-n-8m-die-n-bien-phu-id22095228
22000,78,6,13,"mặt tiền, phố", Phường 14, Quận 3,5,6,Sổ hồng,21/01/2024,22176304,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/re-22-ty-ba-n-mt-ngang-lo-n-13m-d-truo-ng-sa-q-3-7-ta-ng-le-4m-id22176304
22500,250,33,7.6,"Biệt thự, liền kề", Phường An Lạc A, Quận Bình Tân,4,4,Sổ hồng,21/01/2024,22470121,https://mogi.vn/quan-binh-tan/mua-nha-biet-thu-lien-ke/biet-thu-khu-ten-lua-250m2-7-6x33-2-mat-hxh-thong-shr-hc-22-5-ty-tl-id22470121
22990,149,18,7.3,"mặt tiền, phố", Phường 7, Quận Phú Nhuận,4,2,Sổ hồng,21/01/2024,22103536,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/qpn-hiem-nha-mat-tien-kd-ngang-6-5m-149m2-gan-khu-phan-xich-long-id22103536
22990,64,16,4,"mặt tiền, phố", Phường 2, Quận Phú Nhuận,7,8,Sổ hồng,21/01/2024,22399602,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/nha-mat-tien-duong-hoa-ngay-phan-xich-long-64m2-ngang-4m-5-tang-7pn-id22399602
23000,100,20,4,"mặt tiền, phố", Phường 15, Quận 10,4,4,Sổ hồng,21/01/2024,21537830,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/mat-tien-khu-vip-bac-hai-that-son-q10-4mx25m-hang-xom-dam-vinh-hung-id21537830
23000,104,26,4,"mặt tiền, phố", Phường Đa Kao, Quận 1,2,3,Sổ hồng,21/01/2024,22402503,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/re-23-ty-ban-mt-phan-ton-p-dakao-q1-4-26m-4-tang-id22402503
23000,117,18,6.5,"mặt tiền, phố", Phường 14, Quận Tân Bình,10,10,Sổ hồng,21/01/2024,22470506,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/mat-tien-bau-cat-nhd-phuong-14-tan-binh-ngang-6-5m-hdt-1-ty-nam-id22470506
23000,58,7,10,"mặt tiền, phố", Phường 4, Quận 3,4,5,Sổ hồng,21/01/2024,21781342,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/giam-soc-23-ty-ban-lo-goc-2-mt-cu-xa-do-thanh-q3-ngang-10m-5-lau-id21781342
23000,72,18,4,"mặt tiền, phố", Phường 14, Quận 10,1,2,Sổ hồng,21/01/2024,22466193,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/sieu-re-chi-23-ty-ban-gap-mt-d-3-2-q-10-4x18m-2-tang-hdt-cao-id22466193
23000,92,23,4,"mặt tiền, phố", Phường 5, Quận Phú Nhuận,3,4,Sổ hồng,21/01/2024,22430681,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-gap-ban-mt-phan-dang-luu-q-pn-4x23m-4-tang-hdt-70tr-th-id22430681
